cohort	gsm	stage	gene	raw	cpm	norm	lib_size	size_factor
GSE135251	GSM3998243	2	LUM	403	17.953211791723	434.385293277556	22447237	0.927747799561203
GSE135251	GSM3998244	0	LUM	134	5.63621915184744	138.936904988056	23774803	0.964466568558724
GSE135251	GSM3998245	2	LUM	664	26.416642166292	577.19793287328	25135670	1.15038527025664
GSE135251	GSM3998246	2	LUM	155	6.53182397349647	140.681192833866	23729972	1.10178195732988
GSE135251	GSM3998247	0	LUM	631	19.2891923450091	473.640663187604	32712619	1.33223358770205
GSE135251	GSM3998248	2	LUM	1211	44.4279287828006	956.035960331286	27257629	1.26668875465768
GSE135251	GSM3998249	0	LUM	552	17.5891731246867	424.714419408421	31382942	1.29969686635286
GSE135251	GSM3998250	4	LUM	965	31.741044650736	761.605104911382	30402276	1.26706083477773
GSE135251	GSM3998251	3	LUM	926	33.3636716958499	865.233384719409	27754739	1.07023147321147
GSE135251	GSM3998252	2	LUM	319	12.8193510314052	336.734955666731	24884255	0.947332596844257
GSE135251	GSM3998253	3	LUM	908	39.4450721288766	1022.46209086169	23019352	0.888052484405342
GSE135251	GSM3998254	0	LUM	767	26.1546279335382	632.20786415104	29325594	1.21320857188318
GSE135251	GSM3998255	1	LUM	564	19.5734752340878	536.730580184258	28814505	1.05080653277922
GSE135251	GSM3998256	2	LUM	307	14.2338715977743	341.802990836815	21568271	0.898178214439817
GSE135251	GSM3998257	2	LUM	748	27.8676978807733	615.29069553616	26841112	1.21568553762738
GSE135251	GSM3998258	4	LUM	3060	111.889879297147	2366.58843282808	27348318	1.29300048861614
GSE135251	GSM3998259	2	LUM	64	2.9719246917998	123.764686176345	21534866	0.517110348494805
GSE135251	GSM3998260	2	LUM	100	3.64669798061911	109.586820454814	27422068	0.912518490681398
GSE135251	GSM3998261	3	LUM	682	23.7787460895381	653.702631970099	28681075	1.04328782942883
GSE135251	GSM3998262	3	LUM	613	22.236692799436	574.46019815318	27567049	1.06708872428537
GSE135251	GSM3998263	2	LUM	717	24.0237777098947	618.540301325454	29845431	1.15918073319323
GSE135251	GSM3998264	2	LUM	1098	35.2225347233082	911.65247637522	31173225	1.20440631540399
GSE135251	GSM3998265	3	LUM	1118	38.9344552028447	1156.43752141148	28714926	0.966762128779284
GSE135251	GSM3998266	0	LUM	466	17.7924930264691	536.061530431497	26190821	0.8693031929094
GSE135251	GSM3998267	0	LUM	413	13.6825368523228	371.97461850151	30184461	1.11029080872173
GSE135251	GSM3998268	3	LUM	296	18.3606188049582	434.466028444524	16121461	0.681296075229955
GSE135251	GSM3998269	2	LUM	797	31.1079200881638	733.27244162168	25620485	1.08690843233844
GSE135251	GSM3998270	0	LUM	817	26.3977682932495	713.181256165856	30949586	1.14557132977987
GSE135251	GSM3998271	1	LUM	579	18.379575371496	441.658740356892	31502360	1.31096692331307
GSE135251	GSM3998272	0	LUM	125	5.26717003676358	130.922491152723	23731909	0.954763378693933
GSE135251	GSM3998273	1	LUM	256	12.7658729917312	398.245792996629	20053466	0.642819094393213
GSE135251	GSM3998274	3	LUM	692	24.6676066735857	709.405897624514	28052985	0.975464120494629
GSE135251	GSM3998275	4	LUM	679	26.951529916099	793.92376234611	25193375	0.855245846268033
GSE135251	GSM3998276	0	LUM	394	16.3757811174858	404.901903500025	24059921	0.973075198200384
GSE135251	GSM3998277	2	LUM	222	12.8510507644291	320.751454522125	17274852	0.692124686794482
GSE135251	GSM3998278	2	LUM	184	9.91658481442109	253.941615066202	18554775	0.724576001267188
GSE135251	GSM3998279	1	LUM	381	15.5282711739899	414.599869514723	24535893	0.918958321057722
GSE135251	GSM3998280	3	LUM	144	9.62036503005329	285.709185169316	14968247	0.50400899752195
GSE135251	GSM3998281	0	LUM	2162	90.4238204616224	1992.48714872142	23909629	1.08507600733453
GSE135251	GSM3998282	3	LUM	1622	60.0692796556423	1501.34443136466	27002155	1.08036501559184
GSE135251	GSM3998283	1	LUM	341	19.0797794399878	459.375612699438	17872324	0.742311935098547
GSE135251	GSM3998284	2	LUM	210	9.89802815725063	257.859566068645	21216347	0.814396778842386
GSE135251	GSM3998285	4	LUM	455	17.5527121447794	454.008525319674	25921920	1.00218382392628
GSE135251	GSM3998286	0	LUM	425	13.8306712545444	354.664728344349	30728805	1.19831481970026
GSE135251	GSM3998287	2	LUM	778	27.6483739504413	687.359076674648	28139087	1.13186837331641
GSE135251	GSM3998288	0	LUM	213	8.74327383638108	240.535537695917	24361584	0.885524035409988
GSE135251	GSM3998289	0	LUM	370	14.7864361064308	381.231765804835	25022933	0.970538221595667
GSE135251	GSM3998290	0	LUM	1090	28.824205139488	673.703910261301	37815440	1.61792143907438
GSE135251	GSM3998291	1	LUM	503	18.8038072064713	435.288685405473	26749902	1.15555496125854
GSE135251	GSM3998292	1	LUM	372	17.4555888994842	435.224631688106	21311226	0.854731035229149
GSE135251	GSM3998293	0	LUM	122	5.99446504509508	151.840777190982	20352108	0.803473232006385
GSE135251	GSM3998294	1	LUM	322	11.2860550905296	344.001893161197	28530784	0.93604136024075
GSE135251	GSM3998295	1	LUM	387	14.5409419005958	417.519878436784	26614507	0.926901975180074
GSE135251	GSM3998296	1	LUM	424	15.7105500122757	414.083435456732	26988234	1.02394822804812
GSE135251	GSM3998297	2	LUM	262	10.1362136893357	269.723148001183	25847916	0.97136638787432
GSE135251	GSM3998298	3	LUM	668	23.795928680467	595.904639991144	28072029	1.12098472670044
GSE135251	GSM3998299	2	LUM	351	12.6036416121831	349.286548261267	27849094	1.0049055760872
