cohort	gsm	stage	gene	ensembl_id	raw	cpm	norm	lib_size	size_factor
GSE135251	GSM3998312	2	LOX	ENSG00000113083	5	0.178069108336035	4.53950070317213	28078986	1.1014427195718
GSE135251	GSM3998313	2	LOX	ENSG00000113083	29	1.23563910407473	25.3180455523038	23469636	1.14542806790081
GSE135251	GSM3998314	3	LOX	ENSG00000113083	31	1.0736388450015	25.0643285512268	28873769	1.23681749290198
GSE135251	GSM3998315	1	LOX	ENSG00000113083	25	0.847898534356509	22.7876309428025	29484660	1.0970864001945
GSE135251	GSM3998316	1	LOX	ENSG00000113083	10	0.344609864071396	8.53559045725523	29018322	1.17156511316684
GSE135251	GSM3998317	1	LOX	ENSG00000113083	16	0.537525133499406	13.3958974070816	29766050	1.19439553124241
GSE135251	GSM3998318	2	LOX	ENSG00000113083	18	0.576800285016247	13.8272149810984	31206642	1.30178058449266
GSE135251	GSM3998319	3	LOX	ENSG00000113083	9	0.383096831342259	10.5059664033693	23492755	0.856656080407192
GSE135251	GSM3998320	1	LOX	ENSG00000113083	15	0.546400772508698	12.3108026232942	27452377	1.2184420836719
GSE135251	GSM3998321	0	LOX	ENSG00000113083	15	0.525964906289008	13.3415280518249	28519013	1.12430899532144
GSE135251	GSM3998322	3	LOX	ENSG00000113083	12	0.415632607375567	10.8571644017941	28871652	1.10526096464166
GSE135251	GSM3998323	0	LOX	ENSG00000113083	6	0.222068912424904	5.9357946937525	27018640	1.01081663190189
GSE135251	GSM3998324	3	LOX	ENSG00000113083	47	1.84363286679615	38.915997646624	25493145	1.20772954163433
GSE135251	GSM3998325	0	LOX	ENSG00000113083	10	0.346653926441562	8.52508361909056	28847214	1.17300902217623
GSE135251	GSM3998326	0	LOX	ENSG00000113083	10	0.395570637345389	9.82512439604814	25279935	1.01779881830526
GSE135251	GSM3998327	3	LOX	ENSG00000113083	74	2.87660917128311	56.0740361850179	25724732	1.31968385075465
GSE135251	GSM3998328	3	LOX	ENSG00000113083	26	0.886230923282875	20.5223127275731	29337726	1.26691374140631
GSE135251	GSM3998329	3	LOX	ENSG00000113083	21	0.842529070061347	18.0025282951341	24924956	1.16650281869998
GSE135251	GSM3998330	3	LOX	ENSG00000113083	6	0.265405354261076	7.63562131526544	22606929	0.785790671415902
GSE135251	GSM3998331	1	LOX	ENSG00000113083	6	0.217852741713063	5.52275216154986	27541540	1.08641485702958
GSE135251	GSM3998332	4	LOX	ENSG00000113083	35	1.36412083912451	26.5163901031206	25657551	1.31993834243225
GSE135251	GSM3998333	3	LOX	ENSG00000113083	11	0.451713620791836	11.891757065492	24351712	0.925010487467848
GSE135251	GSM3998334	3	LOX	ENSG00000113083	33	1.16111481377724	24.9663239070942	28420962	1.32178049611153
GSE135251	GSM3998335	2	LOX	ENSG00000113083	17	0.811775016267733	18.80487368536	20941763	0.904020962035753
GSE135251	GSM3998336	0	LOX	ENSG00000113083	11	0.503589425189754	12.9826930596944	21843191	0.847281835087836
GSE135251	GSM3998337	2	LOX	ENSG00000113083	8	0.272024478938811	6.61862867045991	29409118	1.20870959806302
GSE135251	GSM3998338	3	LOX	ENSG00000113083	12	0.54509139070393	13.9589014255128	22014657	0.859666504848835
GSE135251	GSM3998339	0	LOX	ENSG00000113083	7	0.230693195812945	5.46427949896716	30343331	1.28104720875334
GSE135251	GSM3998340	3	LOX	ENSG00000113083	11	0.422031227088021	8.97204384850233	26064422	1.2260305662501
GSE135251	GSM3998342	control	LOX	ENSG00000113083	25	1.01222705499907	25.1648186468334	24698016	0.993450433752514
GSE135251	GSM3998343	2	LOX	ENSG00000113083	20	1.14685363286245	27.5317696769913	17439017	0.726433506986451
GSE135251	GSM3998344	1	LOX	ENSG00000113083	3	0.142425194371223	3.32587377395558	21063689	0.902018598388355
GSE135251	GSM3998345	0	LOX	ENSG00000113083	3	0.159214440197783	3.96952164451613	18842512	0.755758569585956
GSE135251	GSM3998346	0	LOX	ENSG00000113083	0	0	0	24974570	1.07227609998791
GSE135251	GSM3998347	2	LOX	ENSG00000113083	6	0.257813389254776	6.25290292663271	23272647	0.959554317474604
GSE135251	GSM3998348	2	LOX	ENSG00000113083	10	0.429798866594601	9.52591314172985	23266697	1.04976812734029
GSE135251	GSM3998349	0	LOX	ENSG00000113083	10	0.414555078554664	9.5360470367591	24122247	1.04865254559384
GSE135251	GSM3998350	2	LOX	ENSG00000113083	14	0.620054978503358	13.8267920182964	22578643	1.01252698250429
GSE135251	GSM3998351	1	LOX	ENSG00000113083	4	0.193874909969339	4.20232654828667	20631860	0.951853682487108
GSE135251	GSM3998352	1	LOX	ENSG00000113083	3	0.11845686713017	2.76414600015351	25325674	1.08532617301452
