approvedSymbol	log2FC_shrunk	padj	baseMean	sm_evidence	sm_categories
MNS1	0.930069507866305	0.0006760845333658	12.4383310996582	weak	Structure with Ligand
FANCI	0.529229384237951	0.0006859779004832	53.6544402771283	weak	Structure with Ligand
OSBPL3	0.818786748380746	0.0007046589501872	44.2884875625972	weak	Structure with Ligand
SH3BP5	-0.578603409406821	0.0007114689535911	419.404825805763	weak	Structure with Ligand
LCAT	-0.504553786488987	0.0007130619733994	2979.74254771134	strong	Structure with Ligand;High-Quality Ligand
PLCE1	1.07744818367324	0.000717370180047	21.5291582158565	weak	Structure with Ligand
LMOD1	1.64874574301917	0.0007308696537068	42.6465790899813	weak	Structure with Ligand
CRYAB	0.966506204266365	0.0007367788482914	58.553698334054	strong	Structure with Ligand;High-Quality Ligand
ORM1	-0.649561466494166	0.0007482067695839	99602.1352015076	strong	Structure with Ligand;High-Quality Pocket
MAFK	0.648451818763463	0.0008748780448785	106.367105496369	strong	High-Quality Ligand
INMT	0.809579203287079	0.0009536460988788	348.313818885371	strong	Structure with Ligand;High-Quality Ligand;Med-Quality Pocket
CAMK4	-0.836901636041505	0.0009660691507953	57.4104426615734	strong	Structure with Ligand;High-Quality Ligand;High-Quality Pocket;Druggable Family
PLK3	0.665865209974047	0.001081366314875	37.6460141063304	strong	Structure with Ligand;High-Quality Ligand;Druggable Family
KSR1	0.648055681993248	0.0011390152929054	109.63181976751	strong	Structure with Ligand;High-Quality Ligand;Druggable Family
PIF1	0.986155193502823	0.0011482615916197	7.78395829669355	weak	Structure with Ligand
KCNE3	-0.575004612430797	0.0011837995777881	106.276921354948	weak	Structure with Ligand
DUSP10	-0.603285191301413	0.0011877053262055	493.933287621202	weak	Structure with Ligand
SSTR1	-0.541491854915758	0.0011878986832504	288.891029467236	strong	Structure with Ligand;High-Quality Ligand;Druggable Family
PTGIS	0.687526970264927	0.0011881310315463	148.59895303856	strong	Structure with Ligand;High-Quality Pocket
SLC6A6	0.727845675506047	0.001243126156296	74.906385573748	weak	Structure with Ligand;Druggable Family
SLC12A4	0.512593940471461	0.0013212008805212	386.080166778783	weak	Structure with Ligand;Druggable Family
ACSL1	-0.5116412450445	0.001391248613628	32877.1466652496	strong	High-Quality Ligand
CDKN1B	-0.554762990360415	0.0014418009683814	636.883308182804	weak	Structure with Ligand
PPP1R13L	0.869465888305276	0.0014564710025106	53.2372820336249	weak	Structure with Ligand
GEM	1.12938579707174	0.0015126414865106	49.8196658118685	weak	Structure with Ligand
MATCAP1	0.818721383746398	0.0015401665020175	121.954890913168	weak	Structure with Ligand
FGF2	-1.03267057198161	0.0015683265120649	93.0443074200365	strong	Structure with Ligand;High-Quality Ligand;High-Quality Pocket;Druggable Family
QSOX1	0.534824642605085	0.001705573124375	632.386898954927	weak	Structure with Ligand;Med-Quality Pocket
HMOX1	-0.735731129644769	0.0017260863829989	1073.11344906214	strong	Structure with Ligand;High-Quality Ligand;High-Quality Pocket
HSPA2	0.828413831566631	0.0017295626314519	22.5227707291615	strong	Structure with Ligand;High-Quality Ligand;High-Quality Pocket
GGACT	-0.67168136408475	0.001807700031563	221.613563054395	weak	Structure with Ligand
DGAT2	-0.619945740637708	0.0018232281857336	11153.4557571826	strong	High-Quality Ligand
SLC19A2	-0.744331182469208	0.0021353292614777	514.230312591541	weak	Structure with Ligand
COL4A5	1.03507322736882	0.0023343718918735	76.6367488277293	weak	Structure with Ligand
NDRG2	-0.517566600636173	0.0023774550958391	8162.37915731631	weak	Structure with Ligand
FNIP2	-0.745869197783763	0.0024477146609033	1414.24174875367	weak	Structure with Ligand
CCND2	0.666034235049744	0.0024582305430226	64.0939248893189	strong	High-Quality Ligand;Druggable Family
DAGLA	0.974283105338544	0.0025407464683216	14.4228624475768	strong	High-Quality Ligand;Druggable Family
SORD	-0.627944789538297	0.0027563810336502	9453.73489273213	strong	Structure with Ligand;High-Quality Pocket;Druggable Family
ADCYAP1R1	-1.91280400987972	0.0028889933236593	14.1427445507066	strong	High-Quality Ligand;Druggable Family
TIMD4	-1.56730560519574	0.0029489889955385	126.48977556378	weak	Structure with Ligand
BUB1B	0.92342641824581	0.0029555465275951	6.43066220125746	strong	High-Quality Ligand;Druggable Family
TPSAB1	1.09170160369232	0.0031229533383373	21.5324313614281	strong	Structure with Ligand;High-Quality Ligand;High-Quality Pocket;Druggable Family
RAMP2	0.544645880754805	0.0032592875566587	94.6214284843226	weak	Structure with Ligand;Med-Quality Pocket
ABCG2	-0.542219967095894	0.0032988527346944	934.017189350806	strong	Structure with Ligand;High-Quality Ligand;Druggable Family
ADCK1	0.655518872936236	0.0033058817220456	101.308663351714	strong	High-Quality Ligand
PYGM	1.01645436289797	0.0033724259339029	8.02454698522872	weak	Structure with Ligand;Med-Quality Pocket;Druggable Family
